latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
34.284068,-77.917788,015,036,4585,5012,2025-03-13,1547,L9,medium,D
35.151302,-77.795537,015,036,4858,1793,2025-03-13,1547,L9,low,D
34.324249,-77.756617,015,036,5075,4848,2025-03-13,1547,L9,low,D
34.323979,-77.756628,015,036,5075,4849,2025-03-13,1547,L9,high,D
34.32397,-77.756302,015,036,5076,4849,2025-03-13,1547,L9,high,D
34.425151,-77.748153,015,036,5089,4474,2025-03-13,1547,L9,high,D
34.424881,-77.748164,015,036,5089,4475,2025-03-13,1547,L9,low,D
34.425412,-77.747817,015,036,5090,4473,2025-03-13,1547,L9,low,D
34.425142,-77.747827,015,036,5090,4474,2025-03-13,1547,L9,low,D
34.41656,-77.61113,015,036,5510,4492,2025-03-13,1547,L9,low,D
35.098199,-77.42458,015,036,5992,1951,2025-03-13,1547,L9,low,D
35.098189,-77.424251,015,036,5993,1951,2025-03-13,1547,L9,low,D
34.823487,-77.377497,015,036,6172,2962,2025-03-13,1547,L9,high,D
34.823217,-77.377509,015,036,6172,2963,2025-03-13,1547,L9,high,D
34.823478,-77.37717,015,036,6173,2962,2025-03-13,1547,L9,low,D
35.306293,-77.27924,015,036,6405,1165,2025-03-13,1547,L9,high,D
35.306023,-77.279253,015,036,6405,1166,2025-03-13,1547,L9,high,D
35.306283,-77.278911,015,036,6406,1165,2025-03-13,1547,L9,low,D
35.306013,-77.278923,015,036,6406,1166,2025-03-13,1547,L9,high,D
34.873202,-77.208355,015,036,6681,2759,2025-03-13,1547,L9,low,D
34.873192,-77.208027,015,036,6682,2759,2025-03-13,1547,L9,high,D
33.337911,-79.52878,015,037,791,3290,2025-03-13,1548,L9,high,D
33.337907,-79.528457,015,037,792,3290,2025-03-13,1548,L9,low,D
33.449835,-79.521406,015,037,808,2876,2025-03-13,1548,L9,high,D
33.449564,-79.52141,015,037,808,2877,2025-03-13,1548,L9,high,D
33.449831,-79.521083,015,037,809,2876,2025-03-13,1548,L9,high,D
33.508282,-79.455496,015,037,1009,2657,2025-03-13,1548,L9,high,D
33.508278,-79.455173,015,037,1010,2657,2025-03-13,1548,L9,high,D
33.508274,-79.45485,015,037,1011,2657,2025-03-13,1548,L9,medium,D
33.50854,-79.454523,015,037,1012,2656,2025-03-13,1548,L9,high,D
33.50827,-79.454527,015,037,1012,2657,2025-03-13,1548,L9,high,D
33.508266,-79.454205,015,037,1013,2657,2025-03-13,1548,L9,medium,D
33.896543,-79.217548,015,037,1721,1210,2025-03-13,1548,L9,high,D
33.896273,-79.217554,015,037,1721,1211,2025-03-13,1548,L9,high,D
33.896268,-79.217229,015,037,1722,1211,2025-03-13,1548,L9,low,D
33.544981,-79.188939,015,037,1832,2508,2025-03-13,1548,L9,low,D
33.54471,-79.188945,015,037,1832,2509,2025-03-13,1548,L9,high,D
33.550926,-79.188492,015,037,1833,2486,2025-03-13,1548,L9,high,D
33.544976,-79.188616,015,037,1833,2508,2025-03-13,1548,L9,low,D
33.544706,-79.188622,015,037,1833,2509,2025-03-13,1548,L9,high,D
33.544435,-79.188627,015,037,1833,2510,2025-03-13,1548,L9,low,D
33.550921,-79.188169,015,037,1834,2486,2025-03-13,1548,L9,high,D
33.550651,-79.188175,015,037,1834,2487,2025-03-13,1548,L9,high,D
33.544971,-79.188293,015,037,1834,2508,2025-03-13,1548,L9,high,D
