centroid_cluster,latitude,longitude,count
345,-33.11929917276782,150.50038688489752,1096
346,-17.603436350573364,136.63040533114665,22
347,-15.73896482313689,141.8669469095202,170
348,-25.37832550222995,130.26346917233627,113
349,-23.720688531197247,148.17797760579367,45
350,-16.93338016466433,145.35728614460774,77
351,-30.02140619968901,150.86775567405004,309
352,-15.629567099235564,144.15450113782558,545
353,-20.98369825599807,125.54853736101492,27
354,-29.484687720587235,149.06513929059548,18
355,-20.88866449538761,120.19997621084546,77
356,-33.0144095493926,150.81800757754712,806
357,-35.54579315781374,148.43890933463666,366
358,-27.779759829602014,126.51737695112091,33
359,-20.50441331652249,127.10084868041201,40
360,-25.63089900014465,146.27461017614726,42
361,-18.382918029582513,145.3170697780899,227
362,-13.397327195074288,135.45459977273615,280
363,-27.43365230917903,152.81845856225252,56
364,-30.65278328148502,152.1674228878335,1333
365,-30.7312686960855,118.69301710062201,32
366,-14.718679044072745,142.93922099444544,56
367,-15.845602282255944,134.8043384759423,38
368,-30.331681557679854,122.45994614704725,45
369,-31.678423143654793,152.16581229824692,1093
370,-17.643597105036616,127.16709412756602,24
371,-15.658054941315989,129.03247036864929,98
372,-36.349191707921264,140.0206447427751,112
373,-16.19376104213579,143.1044218259807,168
374,-20.17803072139362,123.33780752418278,50
375,-15.263017083697529,127.53215214208765,239
376,-24.530725733845912,145.37064068376807,18
377,-32.262573208486266,115.956197271885,46
378,-33.087940269430455,116.35085054387946,149
379,-23.0652817144113,150.59174266539858,173
380,-21.608383469297756,134.13274963980479,7
381,-41.162460993567535,146.94807422291217,19
382,-33.49333750686012,150.37489357255893,1271
383,-17.7491033168593,125.28612411862748,63
384,-32.6754296909759,122.21919731066866,430
385,-42.517244641016795,147.0398386286084,13
386,-31.24953299684506,152.55851668683457,570
387,-22.124650588975015,119.68563225340375,43
388,-15.705536629953423,127.27118860034695,148
389,-31.30567565921749,145.53694514715235,16
390,-28.88613250407078,128.8518164439111,315
391,-23.616801888159436,129.57162758200923,39
392,-16.16680922790049,125.18221395863775,123
393,-28.13175527201945,148.23091551753527,20
394,-14.994553615830851,125.57103348518896,139
395,-34.214881715619036,116.10472865652179,62
396,-17.767867767214952,143.31860751719756,181
397,-12.990595716079543,131.4230313173616,52
398,-28.212644163067708,124.59105139776504,59
399,-12.57640977567872,135.80447782346153,66
400,-17.87612806803698,139.15939666776285,11
401,-17.883618457804484,142.52457723141438,436
402,-29.39013165715792,152.11865025278163,1023
403,-17.29353937806833,122.826269343717,122
404,-31.241211733374445,150.69255198494724,57
405,-15.272113484567315,144.09591287533559,221
406,-10.8975251777389,142.34503616640728,46
407,-15.790995752285427,143.7999555899566,311
408,-22.993111000898534,150.02087133957147,122
409,-27.979339683674347,127.65180482862942,315
