system:index,burn,count,date,.geo
2019_11_01_+34565+13430,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.3142909157587,-30.783252151532036]}"
2019_11_01_+34566+13428,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.29628542741207,-30.765265739686836]}"
2019_11_01_+34569+11346,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[133.83540243495267,-12.041411008838217]}"
2019_11_01_+34574+11341,1,6,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[133.84758651302462,-11.99194837626393]}"
2019_11_01_+34578+13428,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.42187860744477,-30.765265739686836]}"
2019_11_01_+34584+11347,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[133.97782290798605,-12.050404214760816]}"
2019_11_01_+34587+11462,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[134.54575339874748,-13.084622895859562]}"
2019_11_01_+34591+11769,1,8,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[136.27409876062444,-15.830923154472865]}"
2019_11_01_+34594+11762,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[136.2520685554258,-15.782584672638903]}"
2019_11_01_+34595+11764,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[136.27351206525083,-15.800571084484098]}"
2019_11_01_+34609+11757,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[136.36370202145824,-15.733122040064616]}"
2019_11_01_+34609+13425,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.6964135890611,-30.733789518957746]}"
2019_11_01_+34648+13184,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[149.8436967243359,-28.570923494572977]}"
2019_11_01_+34676+13363,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.52912319848122,-30.180707354717985]}"
2019_11_01_+34689+13159,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[149.94939844744985,-28.34609334650803]}"
2019_11_01_+34692+13313,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.00648807735033,-29.731047058588096]}"
2019_11_01_+34703+13352,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.65695965101187,-30.081782089569405]}"
2019_11_01_+34706+13264,1,5,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[151.4827987532466,-29.279588121273683]}"
2019_11_01_+34710+13264,1,8,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[151.48922224157283,-29.263400350613008]}"
2019_11_01_+34710+13348,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.67421614291936,-30.045809265879015]}"
2019_11_01_+34718+13359,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.90849759648833,-30.14023792806629]}"
2019_11_01_+34728+11540,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[136.2450809902538,-13.780097487207131]}"
2019_11_01_+34781+13329,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[153.1466376016442,-29.870441750388355]}"
2019_11_01_+34784+13331,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[153.20826344301562,-29.886929294579794]}"
2019_11_01_+34789+11452,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[136.35875583889006,-12.990194233672286]}"
2019_11_01_+34793+13325,1,7,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[153.1845390029032,-29.82997232373667]}"
2019_11_01_+34798+13264,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.43921185849737,-29.2903799683808]}"
2019_11_01_+34800+11437,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[136.38441180677037,-12.859792747794618]}"
2019_11_01_+34812+11422,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[136.42676860181345,-12.72489465895565]}"
2019_11_01_+34814+11421,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[136.44037354022748,-12.715901453033052]}"
2019_11_01_+34821+13067,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.14425052086776,-27.518718401629034]}"
2019_11_01_+34836+11398,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[136.5328655241013,-12.509057716813302]}"
2019_11_01_+34852+11390,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[136.63993187772013,-12.432615466471221]}"
2019_11_01_+34859+11354,1,4,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[136.52499048380736,-12.113356656218999]}"
2019_11_01_+35048+12911,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[150.570682313694,-26.115778277703775]}"
2019_11_01_+35104+11827,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.43348627497062,-16.36714305760776]}"
2019_11_01_+35106+11827,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.45223235817477,-16.36714305760776]}"
2019_11_01_+35361+12096,1,9,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.7588401062056,-18.778321489966487]}"
2019_11_01_+35365+12145,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.2042963557238,-19.22698254099386]}"
2019_11_01_+35377+11473,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.8876798562741,-13.183548161008137]}"
2019_11_01_+35379+11469,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.89454941408744,-13.147575337317745]}"
2019_11_01_+35425+11386,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.89961709674654,-12.40113924574213]}"
2019_11_01_+35459+11400,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.27930241937665,-12.522547525697199]}"
2019_11_01_+35486+11745,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.4751577205994,-15.62970017195474]}"
2019_11_01_+35486+11748,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.49887871603997,-15.656679789722533]}"
2019_11_01_+35488+11747,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.50802647709105,-15.643189980838637]}"
2019_11_01_+35497+11286,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.08971959209018,-11.50181865348235]}"
2019_11_01_+35519+11278,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.25538859270625,-11.429873006101566]}"
